Валюта;Покупка;Продажа;Дата
EUR;32,500;33,100;09-2018
PLN;7,0000;7,7500;09-2018
GBP;35,650;37,050;09-2018
CHF;28,000;29,250;09-2018
USD;28,000;28,270;10-2018
EUR;32,400;32,905;10-2018
PLN;7,2000;7,7000;10-2018
GBP;35,750;37,000;10-2018
CHF;27,800;29,100;10-2018
USD;28,050;28,250;11-2018
EUR;31,750;32,200;11-2018
PLN;7,1150;7,4350;11-2018
GBP;35,300;36,450;11-2018
CHF;27,200;28,390;11-2018
USD;28,000;28,375;12-2018
EUR;31,800;32,375;12-2018
PLN;7,0000;7,6000;12-2018
GBP;35,000;36,500;12-2018
CHF;27,700;28,500;12-2018
USD;27,450;28,175;01-2019
EUR;31,325;32,400;01-2019
PLN;7,0000;7,4700;01-2019
GBP;34,000;35,500;01-2019
CHF;26,910;28,400;01-2019
USD;27,450;27,700;02-2019
EUR;31,300;31,800;02-2019
PLN;7,0000;7,4450;02-2019
GBP;35,000;36,500;02-2019
CHF;27,000;28,050;02-2019
USD;26,775;27,000;03-2019
EUR;30,360;30,800;03-2019
PLN;6,8000;7,1500;03-2019
GBP;34,500;35,950;03-2019
CHF;26,275;27,200;03-2019
USD;27,100;27,350;04-2019
EUR;30,400;30,850;04-2019
PLN;6,9000;7,1900;04-2019
GBP;34,500;36,200;04-2019
CHF;26,450;27,600;04-2019
USD;26,300;26,700;05-2019
EUR;29,200;29,900;05-2019
PLN;6,5750;7,0750;05-2019
GBP;33,400;34,850;05-2019
CHF;25,100;26,450;05-2019
USD;26,600;26,950;06-2019
EUR;29,550;30,100;06-2019
PLN;6,6500;7,0000;06-2019
GBP;32,800;34,100;06-2019
CHF;26,000;26,950;06-2019
USD;26,000;26,250;07-2019
EUR;29,400;29,850;07-2019
PLN;6,6500;7,0000;07-2019
GBP;32,200;33,685;07-2019
CHF;25,650;26,900;07-2019
USD;25,100;25,400;08-2019
EUR;27,700;28,200;08-2019
PLN;6,3000;6,6350;08-2019
GBP;29,800;31,100;08-2019
CHF;24,600;25,600;08-2019
USD;25,000;25,300;09-2019
EUR;27,500;28,050;09-2019
PLN;6,1000;6,6000;09-2019
GBP;29,000;31,000;09-2019
CHF;24,900;25,900;09-2019
USD;24,300;24,650;10-2019
EUR;26,350;26,900;10-2019
PLN;5,8400;6,1500;10-2019
GBP;29,100;30,500;10-2019
CHF;23,800;24,800;10-2019
USD;24,600;24,870;11-2019
EUR;27,350;27,790;11-2019
PLN;6,1000;6,5200;11-2019
GBP;30,800;32,400;11-2019
CHF;24,300;25,300;11-2019
USD;23,850;24,150;12-2019
EUR;26,100;26,600;12-2019
PLN;5,9000;6,3500;12-2019
GBP;30,000;33,000;12-2019
CHF;23,000;24,700;12-2019
USD;23,600;24,550;01-2020
EUR;26,250;27,475;01-2020
PLN;5,9500;6,4500;01-2020
GBP;29,400;32,000;01-2020
CHF;23,000;25,100;01-2020
USD;24,800;25,175;02-2020
EUR;27,300;27,800;02-2020
PLN;6,1000;6,4500;02-2020
GBP;31,275;33,050;02-2020
CHF;24,700;25,990;02-2020
USD;24,400;24,700;03-2020
EUR;26,700;27,200;03-2020
PLN;6,0000;6,3000;03-2020
GBP;30,500;33,000;03-2020
CHF;24,000;25,500;03-2020
USD;27,500;28,000;04-2020
EUR;30,000;30,800;04-2020
PLN;6,0000;6,7000;04-2020
GBP;33,000;34,900;04-2020
CHF;27,500;29,200;04-2020
USD;26,840;27,160;05-2020
EUR;28,900;29,550;05-2020
PLN;5,9500;6,6000;05-2020
GBP;32,000;34,000;05-2020
CHF;26,750;27,900;05-2020
USD;26,720;26,950;06-2020
EUR;29,450;29,950;06-2020
PLN;6,0000;6,7400;06-2020
GBP;31,925;33,500;06-2020
CHF;26,900;28,100;06-2020
USD;26,600;26,800;07-2020
EUR;29,600;30,050;07-2020
PLN;6,2000;6,7500;07-2020
GBP;32,000;33,300;07-2020
CHF;27,150;28,350;07-2020
USD;27,500;27,800;08-2020
EUR;32,300;32,900;08-2020
PLN;7,0250;7,4400;08-2020
GBP;34,550;36,550;08-2020
CHF;29,200;30,500;08-2020
USD;27,450;27,650;09-2020
EUR;32,500;33,000;09-2020
PLN;7,1500;7,4900;09-2020
GBP;35,250;37,000;09-2020
CHF;29,300;30,650;09-2020
USD;28,220;28,400;10-2020
EUR;32,900;33,305;10-2020
PLN;7,0500;7,3700;10-2020
GBP;35,200;36,750;10-2020
CHF;29,675;30,900;10-2020
USD;28,350;28,600;11-2020
EUR;33,000;33,475;11-2020
PLN;6,9000;7,5000;11-2020
GBP;35,100;36,950;11-2020
CHF;29,175;31,250;11-2020
USD;28,400;28,600;12-2020
EUR;33,800;34,200;12-2020
PLN;7,3600;7,6450;12-2020
GBP;36,500;38,250;12-2020
CHF;30,000;31,600;12-2020
USD;28,150;28,500;01-2021
EUR;34,100;35,000;01-2021
PLN;7,2000;7,7000;01-2021
GBP;36,750;38,900;01-2021
CHF;30,425;32,250;01-2021
USD;28,000;28,200;02-2021
EUR;33,800;34,200;02-2021
PLN;7,2000;7,5500;02-2021
GBP;37,375;38,800;02-2021
CHF;30,900;31,800;02-2021
USD;27,850;28,050;03-2021
EUR;33,550;33,900;03-2021
PLN;7,2500;7,5050;03-2021
GBP;37,900;39,300;03-2021
CHF;30,000;31,085;03-2021
USD;27,700;27,900;04-2021
EUR;32,400;32,750;04-2021
PLN;6,8000;7,1000;04-2021
GBP;37,150;38,500;04-2021
CHF;28,900;29,900;04-2021
USD;27,600;27,820;05-2021
EUR;33,300;33,700;05-2021
PLN;7,0600;7,4000;05-2021
GBP;37,600;38,850;05-2021
CHF;28,850;30,550;05-2021
USD;27,350;27,550;06-2021
EUR;33,250;33,600;06-2021
PLN;7,2000;7,4900;06-2021
GBP;37,900;39,150;06-2021
CHF;29,550;30,725;06-2021
USD;27,150;27,380;07-2021
EUR;32,150;32,500;07-2021
PLN;6,9300;7,1800;07-2021
GBP;36,690;37,850;07-2021
CHF;28,500;29,775;07-2021
USD;26,750;26,950;08-2021
EUR;31,670;32,090;08-2021
PLN;6,7250;7,0400;08-2021
GBP;36,500;37,725;08-2021
CHF;28,500;29,950;08-2021
USD;26,860;27,050;09-2021
EUR;31,575;31,900;09-2021
PLN;6,7250;7,0000;09-2021
GBP;36,200;37,250;09-2021
CHF;28,350;29,600;09-2021
USD;26,530;26,680;10-2021
EUR;30,650;30,995;10-2021
PLN;6,5000;6,7100;10-2021
GBP;35,200;36,000;10-2021
CHF;27,775;28,875;10-2021
USD;26,250;26,400;11-2021
EUR;30,300;30,650;11-2021
PLN;6,4600;6,6300;11-2021
GBP;35,400;36,200;11-2021
CHF;28,000;29,000;11-2021
USD;27,120;27,330;12-2021
EUR;30,600;30,985;12-2021
PLN;6,4200;6,6100;12-2021
GBP;35,600;36,450;12-2021
CHF;28,500;29,800;12-2021
USD;27,180;27,400;01-2022
EUR;30,585;31,025;01-2022
PLN;6,5000;6,6200;01-2022
GBP;35,900;36,750;01-2022
CHF;28,800;30,105;01-2022
USD;28,220;28,490;02-2022
EUR;31,600;32,000;02-2022
PLN;6,7500;6,9700;02-2022
GBP;37,400;38,500;02-2022
CHF;29,700;31,050;02-2022
USD;29,250;29,700;03-2022
EUR;33,000;34,350;03-2022
PLN;7,0000;7,3500;03-2022
GBP;39,095;40,160;03-2022
CHF;30,750;32,000;03-2022
USD;29,250;29,550;04-2022
EUR;32,435;32,990;04-2022
PLN;6,9705;7,2250;04-2022
GBP;38,380;39,380;04-2022
CHF;31,630;32,000;04-2022
USD;31,850;32,180;05-2022
EUR;33,135;33,750;05-2022
PLN;6,6010;7,1900;05-2022
GBP;37,950;39,990;05-2022
CHF;30,245;33,040;05-2022
USD;35,000;36,000;06-2022
EUR;37,000;38,400;06-2022
PLN;7,8000;8,2000;06-2022
GBP;42,000;44,600;06-2022
CHF;33,500;37,500;06-2022
USD;35,175;35,700;07-2022
EUR;36,600;37,475;07-2022
PLN;7,3500;7,9500;07-2022
GBP;39,800;43,300;07-2022
CHF;33,000;37,250;07-2022
USD;39,800;41,200;08-2022
EUR;40,000;41,800;08-2022
PLN;8,0250;8,7850;08-2022
GBP;44,450;49,000;08-2022
CHF;38,330;42,800;08-2022
USD;40,000;40,700;09-2022
EUR;40,000;40,750;09-2022
PLN;8,2500;8,6000;09-2022
GBP;44,700;47,600;09-2022
CHF;37,850;41,450;09-2022
USD;41,200;42,000;10-2022
EUR;39,500;40,800;10-2022
PLN;8,0000;8,5000;10-2022
GBP;42,000;46,055;10-2022
CHF;38,500;42,950;10-2022
USD;39,650;40,300;11-2022
EUR;38,500;39,500;11-2022
PLN;8,0000;8,4000;11-2022
GBP;43,000;46,320;11-2022
CHF;38,000;40,500;11-2022
USD;39,900;40,400;12-2022
EUR;40,500;41,400;12-2022
PLN;8,3000;8,8400;12-2022
GBP;45,000;48,100;12-2022
CHF;40,000;42,500;12-2022
USD;40,100;40,800;01-2023
EUR;42,000;42,850;01-2023
PLN;8,5000;9,1000;01-2023
GBP;45,000;48,950;01-2023
CHF;39,350;43,500;01-2023
USD;38,500;39,300;03-2023
EUR;40,400;41,300;03-2023
PLN;8,4000;8,8500;03-2023
GBP;44,800;47,200;03-2023
CHF;39,500;41,800;03-2023
USD;37,500;38,025;04-2023
EUR;40,500;41,200;04-2023
PLN;8,4000;8,9000;04-2023
GBP;44,000;47,000;04-2023
CHF;39,000;41,720;04-2023
USD;37,500;38,050;05-2023
EUR;41,100;41,700;05-2023
PLN;8,8000;9,0500;05-2023
GBP;45,000;47,500;05-2023
CHF;40,500;42,900;05-2023
USD;37,150;37,500;06-2023
EUR;40,000;40,550;06-2023
PLN;8,6000;8,9550;06-2023
GBP;44,350;46,500;06-2023
CHF;39,500;41,550;06-2023
USD;36,800;37,400;07-2023
EUR;40,350;41,150;07-2023
PLN;8,7000;9,2000;07-2023
GBP;44,750;47,500;07-2023
CHF;39,500;41,750;07-2023
USD;37,000;37,550;08-2023
EUR;40,950;41,650;08-2023
PLN;8,9500;9,4000;08-2023
GBP;46,100;48,500;08-2023
CHF;41,300;43,200;08-2023
USD;37,500;38,200;09-2023
EUR;40,800;41,600;09-2023
PLN;8,8100;9,3000;09-2023
GBP;46,150;48,415;09-2023
CHF;41,510;43,040;09-2023
USD;37,500;38,200;10-2023
EUR;40,150;40,900;10-2023
PLN;8,6000;8,8000;10-2023
GBP;45,500;46,540;10-2023
CHF;40,150;42,000;10-2023
USD;37,450;37,950;11-2023
EUR;39,800;40,400;11-2023
PLN;8,6500;9,0000;11-2023
GBP;44,900;46,350;11-2023
CHF;40,300;42,000;11-2023
USD;37,050;37,550;12-2023
EUR;40,300;40,990;12-2023
PLN;9,0000;9,3600;12-2023
GBP;45,625;47,400;12-2023
CHF;41,300;42,500;12-2023
